"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[4,15] Endow CMLT",124668.466246667,124611,124845.162969218,6925.3,0.95,109284,140043,NA,NA,NA,NA,NA,NA,NA
"m[5,15] Disting CMLT",151605.297666667,151775,153015.610794623,4485.7,0.95,132053,172338,NA,NA,NA,NA,NA,NA,NA
"m[1,16] Assis CRIN",64182.3414133333,64222.75,64289.7424269593,13566.6,0.95,61327.1,66876.1,NA,NA,NA,NA,NA,NA,NA
"m[2,16] Assoc CRIN",74389.54352,74339.45,74186.3417148547,15000,0.95,71429.7,77772.7,NA,NA,NA,NA,NA,NA,NA
"m[3,16] Full CRIN",97889.9664,97778.6,97874.1630661442,10878.1,0.95,92025.3,104045,NA,NA,NA,NA,NA,NA,NA
"m[4,16] Endow CRIN",122242.889333333,121613.5,120315.665746383,6102.6,0.95,112580,133215,NA,NA,NA,NA,NA,NA,NA
"m[5,16] Disting CRIN",152436.204666667,152667.5,152816.519212538,3204,0.95,134159,171587,NA,NA,NA,NA,NA,NA,NA
"m[1,17] Assis CSCI",94562.8614066667,94543.4,94473.2151295213,15113.2,0.95,92176.7,96877.1,NA,NA,NA,NA,NA,NA,NA
"m[2,17] Assoc CSCI",109097.617946667,109212,109359.556682151,8381.7,0.95,102566,115361,NA,NA,NA,NA,NA,NA,NA
"m[3,17] Full CSCI",134316.148933333,134246.5,134073.23463443,6576.7,0.95,125345,143606,NA,NA,NA,NA,NA,NA,NA
"m[4,17] Endow CSCI",159931.5084,159930,159555.981371719,3999.2,0.95,145396,173954,NA,NA,NA,NA,NA,NA,NA
"m[5,17] Disting CSCI",186847.4862,187127.5,188627.794807738,2770.8,0.95,167130,205791,NA,NA,NA,NA,NA,NA,NA
"m[1,18] Assis EALC",63535.4659266667,63515.05,63337.1736044071,15000,0.95,59260.9,67597,NA,NA,NA,NA,NA,NA,NA
"m[2,18] Assoc EALC",73591.0541133333,73436.65,73174.2535000324,12042.4,0.95,68847.5,78817.7,NA,NA,NA,NA,NA,NA,NA
"m[3,18] Full EALC",103207.05988,103119,103287.87438726,7718.1,0.95,93314,113299,NA,NA,NA,NA,NA,NA,NA
"m[4,18] Endow EALC",127849.923573333,127736.5,128282.474254436,6344.5,0.95,113562,142535,NA,NA,NA,NA,NA,NA,NA
"m[5,18] Disting EALC",154731.251266667,154996,156690.248927051,3873,0.95,134334,173101,NA,NA,NA,NA,NA,NA,NA
"m[1,19] Assis ECON",115852.8448,115397,114638.991182282,9494.1,0.95,109079,123398,NA,NA,NA,NA,NA,NA,NA
"m[2,19] Assoc ECON",140433.0154,139915,137924.505969553,1972.7,0.95,122933,160499,NA,NA,NA,NA,NA,NA,NA
"m[3,19] Full ECON",166582.170066667,166183.5,165063.814262056,2649.2,0.95,150332,183733,NA,NA,NA,NA,NA,NA,NA
"m[4,19] Endow ECON",189882.451866667,189421.5,187824.441036812,2595,0.95,171347,208863,NA,NA,NA,NA,NA,NA,NA
"m[5,19] Disting ECON",215375.474933333,215292.5,215009.446066996,3971.5,0.95,193706,237217,NA,NA,NA,NA,NA,NA,NA
"m[1,20] Assis ELPS",68795.24628,68638,68350.5167702316,14056,0.95,61523.2,76482.6,NA,NA,NA,NA,NA,NA,NA
"m[2,20] Assoc ELPS",82394.4741866667,82272.1,82016.4551607825,12935.1,0.95,74025.2,91318.3,NA,NA,NA,NA,NA,NA,NA
"m[3,20] Full ELPS",111531.662306667,111482.5,111506.442963837,10563.4,0.95,98922.4,125436,NA,NA,NA,NA,NA,NA,NA
"m[4,20] Endow ELPS",134981.794,134884,134737.979383004,7735.8,0.95,119724,151006,NA,NA,NA,NA,NA,NA,NA
"m[5,20] Disting ELPS",161926.6678,162207,163848.346656483,4370.3,0.95,141696,182215,NA,NA,NA,NA,NA,NA,NA
"m[1,21] Assis ENG",64845.3068466667,64753.85,64382.0539434857,14059.4,0.95,61155.3,68674,NA,NA,NA,NA,NA,NA,NA
"m[2,21] Assoc ENG",78120.7051666667,78077.6,77910.3353367478,15000,0.95,74578.6,81840.3,NA,NA,NA,NA,NA,NA,NA
"m[3,21] Full ENG",108654.13652,108662,108875.08739604,8210.3,0.95,101216,116530,NA,NA,NA,NA,NA,NA,NA
"m[4,21] Endow ENG",125901.284946667,125872,125368.313573716,5195.1,0.95,111912,140086,NA,NA,NA,NA,NA,NA,NA
"m[5,21] Disting ENG",156972.007333333,157293,158588.12509221,3271.1,0.95,137829,176045,NA,NA,NA,NA,NA,NA,NA
"m[1,22] Assis FINH",61700.9612933333,61750.2,61494.1385059025,13050.5,0.95,57284.5,66236.7,NA,NA,NA,NA,NA,NA,NA
"m[2,22] Assoc FINH",73263.6081133333,73303.7,73564.9743920994,10345.1,0.95,66469.4,80723.7,NA,NA,NA,NA,NA,NA,NA
"m[3,22] Full FINH",97385.4500266667,97462.8,97345.1494334927,5064.1,0.95,83056.1,111007,NA,NA,NA,NA,NA,NA,NA
"m[4,22] Endow FINH",125053.956813333,125024.5,124539.535260278,5399.9,0.95,109921,140008,NA,NA,NA,NA,NA,NA,NA
"m[5,22] Disting FINH",152042.941666667,152300,154291.723263002,3336.7,0.95,131873,172002,NA,NA,NA,NA,NA,NA,NA
"m[1,23] Assis FINS",63123.4104533333,63056.9,62967.8081408381,7537.4,0.95,52078.2,73841.6,NA,NA,NA,NA,NA,NA,NA
"m[2,23] Assoc FINS",72859.0077,72788.4,72837.555179733,13844.8,0.95,68176.7,78144.1,NA,NA,NA,NA,NA,NA,NA
"m[3,23] Full FINS",103267.9998,103237,102025.857632682,7177.6,0.95,88782.1,118098,NA,NA,NA,NA,NA,NA,NA
"m[4,23] Endow FINS",130338.275966667,131200.5,135495.495277262,5372.3,0.95,115850,141258,NA,NA,NA,NA,NA,NA,NA
"m[5,23] Disting FINS",155031.407266667,155358.5,155805.614350274,4189.1,0.95,135100,174504,NA,NA,NA,NA,NA,NA,NA
"m[1,24] Assis FOLK",62655.0876666667,63017.2,63220.436925006,11744.3,0.95,54971.5,68742,NA,NA,NA,NA,NA,NA,NA
"m[2,24] Assoc FOLK",73329.8289933333,73132.85,72890.9404901957,9490.5,0.95,64760.5,82460.8,NA,NA,NA,NA,NA,NA,NA
"m[3,24] Full FOLK",99898.8855466667,99943.9,100198.87953931,8253.1,0.95,87149.8,112104,NA,NA,NA,NA,NA,NA,NA
