"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Rankin","Queensland","abstudy__living_allowance_",71
"Ryan","Queensland","abstudy__living_allowance_",53
"Wide Bay","Queensland","abstudy__living_allowance_",52
"Wright","Queensland","abstudy__living_allowance_",42
"Adelaide","South Australia","abstudy__living_allowance_",68
"Barker","South Australia","abstudy__living_allowance_",41
"Boothby","South Australia","abstudy__living_allowance_",51
"Grey","South Australia","abstudy__living_allowance_",136
"Hindmarsh","South Australia","abstudy__living_allowance_",34
"Kingston","South Australia","abstudy__living_allowance_",55
"Makin","South Australia","abstudy__living_allowance_",40
"Mayo","South Australia","abstudy__living_allowance_",20
"Port Adelaide","South Australia","abstudy__living_allowance_",92
"Sturt","South Australia","abstudy__living_allowance_",39
"Wakefield","South Australia","abstudy__living_allowance_",64
"Brand","Western Australia","abstudy__living_allowance_",34
"Canning","Western Australia","abstudy__living_allowance_",41
"Cowan","Western Australia","abstudy__living_allowance_",21
"Curtin","Western Australia","abstudy__living_allowance_",79
"Durack","Western Australia","abstudy__living_allowance_",144
"Forrest","Western Australia","abstudy__living_allowance_",25
"Fremantle","Western Australia","abstudy__living_allowance_",33
"Hasluck","Western Australia","abstudy__living_allowance_",51
"Moore","Western Australia","abstudy__living_allowance_",20
"O'Connor","Western Australia","abstudy__living_allowance_",54
"Pearce","Western Australia","abstudy__living_allowance_",39
"Perth","Western Australia","abstudy__living_allowance_",41
"Stirling","Western Australia","abstudy__living_allowance_",31
"Swan","Western Australia","abstudy__living_allowance_",53
"Tangney","Western Australia","abstudy__living_allowance_",20
"Bass","Tasmania","abstudy__living_allowance_",63
"Braddon","Tasmania","abstudy__living_allowance_",59
"Denison","Tasmania","abstudy__living_allowance_",55
"Franklin","Tasmania","abstudy__living_allowance_",23
"Lyons","Tasmania","abstudy__living_allowance_",36
"Lingiari","Northern Territory","abstudy__living_allowance_",271
"Solomon","Northern Territory","abstudy__living_allowance_",113
"Canberra","Australian Capital Territory","abstudy__living_allowance_",36
"Fraser","Australian Capital Territory","abstudy__living_allowance_",65
"Unknown","Unknown","age_pension",84213
"Banks","New South Wales","age_pension",16278
"Barton","New South Wales","age_pension",17357
"Bennelong","New South Wales","age_pension",14022
"Berowra","New South Wales","age_pension",10764
"Blaxland","New South Wales","age_pension",16425
"Bradfield","New South Wales","age_pension",9448
"Calare","New South Wales","age_pension",18283
"Charlton","New South Wales","age_pension",19018
"Chifley","New South Wales","age_pension",14204
"Cook","New South Wales","age_pension",15193
"Cowper","New South Wales","age_pension",22264
"Cunningham","New South Wales","age_pension",18217
"Dobell","New South Wales","age_pension",19485
"Eden-Monaro","New South Wales","age_pension",18918
"Farrer","New South Wales","age_pension",19979
"Fowler","New South Wales","age_pension",14509
"Gilmore","New South Wales","age_pension",23254
"Grayndler","New South Wales","age_pension",13791
"Greenway","New South Wales","age_pension",12226
"Hughes","New South Wales","age_pension",13140
"Hume","New South Wales","age_pension",17866
"Hunter","New South Wales","age_pension",15179
"Kingsford Smith","New South Wales","age_pension",14657
"Lindsay","New South Wales","age_pension",13279
"Lyne","New South Wales","age_pension",25452
"Macarthur","New South Wales","age_pension",12327
"Mackellar","New South Wales","age_pension",13642
"Macquarie","New South Wales","age_pension",14746
"McMahon","New South Wales","age_pension",14987
"Mitchell","New South Wales","age_pension",12058
"New England","New South Wales","age_pension",19605
"Newcastle","New South Wales","age_pension",15746
"North Sydney","New South Wales","age_pension",8565
"Page","New South Wales","age_pension",21482
"Parkes","New South Wales","age_pension",18212
"Parramatta","New South Wales","age_pension",13569
"Paterson","New South Wales","age_pension",22162
"Reid","New South Wales","age_pension",13253
"Richmond","New South Wales","age_pension",20153
"Riverina","New South Wales","age_pension",16977
"Robertson","New South Wales","age_pension",20965
"Shortland","New South Wales","age_pension",21716
"Sydney","New South Wales","age_pension",8886
"Throsby","New South Wales","age_pension",20992
"Warringah","New South Wales","age_pension",9316
"Watson","New South Wales","age_pension",16655
"Wentworth","New South Wales","age_pension",8249
"Werriwa","New South Wales","age_pension",11647
"Aston","Victoria","age_pension",13901
"Ballarat","Victoria","age_pension",17338
"Batman","Victoria","age_pension",17891
"Bendigo","Victoria","age_pension",18196
"Bruce","Victoria","age_pension",18787
"Calwell","Victoria","age_pension",14651
"Casey","Victoria","age_pension",14674
"Chisholm","Victoria","age_pension",17478
"Corangamite","Victoria","age_pension",16860
"Corio","Victoria","age_pension",19773
"Deakin","Victoria","age_pension",17166
"Dunkley","Victoria","age_pension",18066
"Flinders","Victoria","age_pension",22222
"Gellibrand","Victoria","age_pension",16972
"Gippsland","Victoria","age_pension",20563
"Goldstein","Victoria","age_pension",12185
"Gorton","Victoria","age_pension",11350
"Higgins","Victoria","age_pension",9882
"Holt","Victoria","age_pension",12992
